Name,Industry,Industry 2,Industry 3,Country,Description,Domain,company_email,phone,Founder,Funding type,Last Equity Funding Amount,Funding Type,Total Equity Funding Amount,Investory,Investor 2,Investor 3,Investor 4 ,Investor,Monthly Visits,Average Visits (6 months),Monthly Visits Growth,Visit Duration,Visit Duration Growth,Page Views / Visit Growth,Bounce Rate,Bounce Rate Growth,Global Traffic Rank
Composabl,Analytics,Artificial Intelligence (AI),Information Technology,United States,Composabl is a platform that assembles intelligent autonomous agents using building blocks that can be composed together.,www.composabl.com/,—,925-339-2465,Xavier Geerinck,Seed,"$37,33,974.00",Debt Financing,"$56,97,963.00",Plug and Play,Momenta,Hannah Grey,Ridgeline Ventures,Exposition Ventures,191,"2,991.83",-86.72%,0,-72.71%,-79.16%,100%,266.84%,"1,44,74,478"
Acctual,Accounting,Cryptocurrency,Finance,United States,AP / AR for fiat and digital assets,www.acctual.com/,—,—,Issa Hassan,Seed,"$38,50,000.00",Seed,"$38,50,000.00",Aave,Alchemy,Orange DAO,Third Prime,Soma Capital,"31,375","17,960.67",120.7%,417,-27.85%,-26.09%,75.68%,16.18%,"7,33,586"
Sweetspot,Artificial Intelligence (AI),Business Intelligence,GovTech,United States,"Sweetspot provides an AI-powered platform that simplifies government contracting through bid management, and proposal generation.",www.sweetspot.so,sachin@sweetspot.so,4805405371,Philip Kung,Seed,"$22,00,000.00",Seed,"$23,25,000.00",Y Combinator,Liquid 2 Ventures,1984 Ventures,,,"3,262","4,887.33",-14.65%,365,254.37%,8.98%,83.84%,5.1%,"37,77,662"
Diagon,Industrial Automation,Industrial Manufacturing,Machinery Manufacturing,United States,B2B Marketplace for Manufacturing & Automation Equipment,diagontech.com/,hagrid@diagontech.com,—,Will Drewery,Seed,"$51,00,000.00",Seed,"$58,50,000.00",Techstars,Anthemis,REFASHIOND Ventures,Valia Ventures,The Westly Group,—,—,—,—,—,—,—,—,—
Materia,Artificial Intelligence (AI),Information Technology,Internet,United States,"Materia is an AI co-pilot streamlines audits, enhances accuracy, and boosts efficiency for firms.",www.trymateria.ai,—,—,Lucas Adams,M&A,"$63,00,000.00",Series A,"$63,00,000.00",Haystack,Spark Capital,Allen Institute for Artificial Intelligence,Thomson Reuters Ventures,Pathlight Ventures,—,—,—,—,—,—,—,—,—
Producer.ai (formerly Riffusion),Artificial Intelligence (AI),Music,,United States,Producer.ai (formerly Riffusion) allows users to make short music clips with AI-generated vocals.,www.riffusion.com,—,—,,Seed,"$40,00,000.00",Seed,"$40,00,000.00",South Park Commons,Spark Capital,Greycroft,Sky9 Capital,,"9,17,445","24,85,836.67",-28.65%,"1,049",-17.34%,-17.51%,58.91%,0.98%,"52,010"
Scindo,Artificial Intelligence (AI),Biotechnology,CleanTech,United Kingdom,Biotechnology company,www.scindo.bio,info@scindo.bio,—,Gustaf Hemberg,Seed,"£40,00,000.00",Seed,"£40,00,000.00",SOSV,IndieBio,Clay Capital,AgFunder,Farvatn Venture,209,733.83,-84.89%,27,-96.98%,25.77%,35.41%,-53.45%,"1,38,81,948"
Sky Peak Technologies,Cloud Data Services,Mobile Apps,SaaS,United States,We develop bold and novel technologies that enable people to make our world more connected while protecting the resources of our planet.,skypeaktechnologies.com,cmcintosh@skypeaktech.com,970-812-3076,Don McIntosh,Seed,"$9,50,000.00",Convertible Note,"$8,40,000.00",Greater Colorado Venture Fund,John Wolgamott,,,,98,—,—,63,—,—,0%,—,"1,91,68,208"
Logic AI,Artificial Intelligence (AI),Business Process Automation (BPA),Software Engineering,United States,Logic AI is an AI-powered business automation platform that enables business teams to automate recurring processes without coding.,logic.inc/,—,—,,Seed,"$43,00,000.00",Seed,"$43,00,000.00",Neo,Founders' Co-op,Audacious Ventures,Dan Lewis,,965,—,-89.16%,327,-34.73%,56.35%,40.52%,-46.6%,"66,12,720"
Aim Intelligence,Artificial Intelligence (AI),Security,Software,South Korea,"Aim Intelligence has developed 'AIM Red', a generative AI solution for automatic vulnerability detection and security diagnosis.",aim-intelligence.com,—,—,Haon Park,Seed,—,Seed,—,Z Venture Capital,Bluepoint,Mashup Ventures,Mirae Asset Capital,Llama,"1,972","1,134.5",9.19%,642,-40.61%,19.14%,30.32%,-48.2%,"48,39,740"
Grit,Artificial Intelligence (AI),Machine Learning,Software,United States,Grit's automated migrations and AI-assisted refactoring put software maintenance on autopilot.,www.grit.io,—,—,Morgante Pell,M&A,"$70,00,000.00",Seed,"$70,00,000.00",8VC,Founders Fund,Quiet Capital,A*,SV Angel,"1,900","3,559.5",-3.55%,85,-88.99%,-74.52%,74.37%,71.36%,"49,17,828"
ABCXchange,Artificial Intelligence (AI),CRM,Funding Platform,United Kingdom,"AI, SaaS, FinTech, Metaverse, Fundraising Platform, VC, LP, PE",www.abcxchange.com,contact@abcxchange.com,447919525110,Kaustubh Misra,Seed,"£50,000.00",Angel,"£3,50,000.00",,,,,,156,—,-82.15%,861,—,259.62%,40.38%,-59.62%,"1,58,85,671"
CERPRO,Artificial Intelligence (AI),Cloud Computing,Productivity Tools,Germany,"CERPRO helps reimagining the future of production using artificial intelligence, and cloud computing technologies.",cerpro.io/,info@cerpro.io,+49 (0) 17632026354,,Seed,"€20,00,000.00",Pre-Seed,"$23,33,754.00",Techstars,seed + speed Ventures,D11Z.Ventures,EIT Manufacturing,,"7,101","3,861.83",50.25%,887,63.35%,35.15%,25.6%,-28.95%,"22,92,699"
Textla,Marketing,Small and Medium Businesses,Software,United States,"No-code, intelligent messaging platform for SMBs & low tech teams that unlocks enterprise, wholesale pricing",www.textla.com/,—,—,Luke Brickman,Seed,"$20,00,000.00",Pre-Seed,"$20,00,000.00",500 Global,Team Ignite Ventures,GoAhead Ventures,Brickyard,Capital Eleven,"47,790","59,772.17",-40.07%,810,-29.44%,-8.28%,50.33%,10.83%,"5,32,773"
Alba Health,Artificial Intelligence (AI),Biotechnology,Wellness,Sweden,Alba Health provides digital gut health support to children based on AI and gut microbiome testing.,www.albahealth.com,hello@albahealth.se,—,Willem M. de Vos,Seed,"$25,00,000.00",Seed,"$51,21,840.00",Octopus Ventures,Voima Ventures,Unconventional Ventures,Exceptional Ventures,Joyance Partners,"2,329","4,456.83",-86.73%,730,181.85%,268.39%,56.68%,-41.26%,"44,89,383"
Sol,Edutainment,Information Technology,Reading Apps,United States,Sol is the creator of the Sol Reader VR headset aimed at providing users distraction free reading,solreader.com,—,—,,Seed,"$50,00,000.00",Seed,"$50,00,000.00",Liquid 2 Ventures,Garry Tan,,,,"16,215","26,404.5",368.64%,63,-38.24%,41.77%,46.83%,-33.07%,"12,18,801"
Waybridge,Information Technology,Logistics,Productivity Tools,United States,Waybridge offers a suite of digital tools that targets fundamental inefficiencies in the raw materials supply chain.,waybridge.com,info@waybridge.com,—,Andrew Sweeney,M&A,"$1,00,00,000.00",Series A,"$2,00,00,000.00",Craft Ventures,Venrock,Room40 Ventures,,,—,—,—,—,—,—,—,—,—
CarbonSix,Robotics,,,South Korea,CarbonSix a robotics startup specializing in AI-powered manipulation for manufacturing.,www.carbon6robotics.com/,—,—,Jehyeok Kim,Seed,"₩6,00,00,00,000",Seed,"₩6,00,00,00,000",Foothill Ventures,Storm Ventures,Xquared VC,Zeitgeist Capital,,"1,722",696.5,127.48%,119,-16.2%,-46.92%,23%,-34.04%,"51,29,813"
Quickads,Advertising,Advertising Platforms,Artificial Intelligence (AI),Singapore,"Artificial Intelligence, Advertising Services, AI-Ad Generator, Effortless Ads, AI Ads",www.quickads.ai/,support@quickads.ai,—,,Seed,"$17,00,000.00",Seed,"$17,00,000.00",Kae Capital,,,,,"51,185","77,250",1.07%,441,-8.32%,4.43%,59.62%,11.86%,"5,05,606"
Foxy AI,Apps,Artificial Intelligence (AI),,United States,Foxy AI helps creators generate ultra-realistic images and videos of themselves in seconds with AI.,foxy.ai,hello@foxy.ai,—,,Seed,"$25,00,000.00",Pre-Seed,"$25,00,000.00",,,,,,"1,71,763","1,12,481",-0.42%,897,95%,112.74%,52.82%,2.48%,"1,99,700"
Flowstep,Artificial Intelligence (AI),Generative AI,Internet,Estonia,Flowstep is an AI design assistant for teams.,flowstep.ai/,hello@flowstep.ai,—,Sami Nieminen,Seed,"$26,00,000.00",Seed,"$33,99,265.00",Specialist VC,Tera Ventures,Supernode Global,Iron Wolf Capital,Thomas Wolf,"7,531","17,922.67",-4.77%,210,-39.83%,45.24%,42.04%,-43.15%,"21,98,872"
Nomain,Banking,Enterprise Software,Insurance,Finland,"B2B SaaS company developing a GenAI powered mainframe understanding tool, which will increase the efficiency of mainframe teams by 300%.",www.nomain.ai,henri.kasurinen@nomain.ai,+358 50 305 0506,Héctor Tortosa,Seed,"€4,75,000.00",Pre-Seed,"€4,75,000.00",,,,,,—,—,—,—,—,—,—,—,—
Virtual Sapiens,Machine Learning,Software,,United States,"Virtual Sapiens leverages AI/ML to help professionals and teams assess, improve and master their virtual presence.",www.virtualsapiens.co/,info@virtualsapiens.co,—,Rachel Cossar,Seed,"$2,47,500.00",Pre-Seed,"$2,47,500.00",Techstars,VITALIZE Venture Capital,MassChallenge,,,"1,224","1,668.5",-46.67%,43,-93.54%,-69.57%,33.25%,-19.84%,"59,49,718"
Remento,Apps,Family,Internet,United States,Remento helps people capture family stories in a new and unique way.,www.remento.co,support@remento.co,—,Charlie Greene,—,"$3,00,000.00",Undisclosed,"$33,99,999.00",Alumni Ventures,Upfront Ventures,Flybridge,Mark Cuban,Dan Nova,"2,71,846","2,25,273",30.95%,996,21.46%,30.68%,77.33%,-8.77%,"1,39,077"
Quiltt,Banking,Developer APIs,Financial Services,United States,The unified API for open banking data and enrichment,quiltt.io,hello@quiltt.io,—,Ruben Izmailyan,Seed,—,Seed,"$37,20,000.00",Hustle Fund,Greycroft,nvp capital,Motivate Venture Capital,Plow Ventures (PlowVC.com),"1,201","2,856.17",-33.76%,97,223.33%,28.87%,26.98%,-51.67%,"60,00,091"
Sybal,Compliance,Government,GovTech,United States,Sybal offers a software platform that helps in creating a positive compliance framework.,sybal.io/,info@sybal.io,2403450992,Ikhelowa (Ike) Sanni,Seed,"$2,25,000.00",Debt Financing,—,TEDCO,,,,,178,255.67,22.76%,71,"7,000%",41.53%,42.7%,-32.7%,"1,49,74,475"
Cypher Wallet,Cryptocurrency,Finance,Software,United States,Cypher Wallet is a multi-chain crypto wallet designed to simplify the user experience for mainstream users along with a crypto card.,cypherwallet.io,support@cypherwallet.io,—,,Seed,"$43,00,000.00",Seed,"$43,00,000.00",Y Combinator,Goodwater Capital,Samsung NEXT,Pioneer Fund,Rebel Fund,338,"1,051",-2.59%,0,-24.39%,-30.6%,100%,43.99%,"1,08,92,856"
AppFlowy,Artificial Intelligence (AI),Enterprise Software,,Singapore,AppFlowy is the AI collaborative workspace where you achieve more without losing control of your data.,www.appflowy.com,—,—,Nathan Foo,Seed,"$64,00,000.00",Seed,"$64,00,000.00",Preetha Parthasarathy,Matt Mullenweg,Tom Preston-Werner,Steve Chen,OSS Capital L.P.,"99,715","1,03,153",-21.47%,475,0%,7.97%,51.1%,1.57%,"3,03,743"
Pinkfish,Artificial Intelligence (AI),Information Technology,Robotic Process Automation (RPA),United States,Pinkfish simplifies enterprise automation creation by allowing users to describe workflows in natural language.,www.pinkfish.pro,hello@pinkfish.pro,—,,Seed,"$76,00,000.00",Pre-Seed,"$76,00,000.00",Norwest,Storm Ventures,,,,"1,563","1,614",-6.63%,185,-85.68%,-14.23%,44.53%,-29.81%,"53,43,604"
Veezoo,Analytics,Artificial Intelligence (AI),CRM,Switzerland,Veezoo is a software company that develops analytics solution for business insights from cloud databases using natural-language.,www.veezoo.com,info@veezoo.com,+41 764359761,Marcos Monteiro,Early Stage Venture,"$60,00,000.00",Series A,"$67,29,617.00",Tenity,Innosuisse,SICTIC,ACE Ventures,Thomas Dübendorfer,"2,844","3,019.17",24.19%,821,287.26%,54.4%,42.16%,-14.86%,"40,66,628"
Lemna Bio,Artificial Intelligence (AI),Biotechnology,Market Research,Switzerland,"Lemna Bio builds AI models that explain how molecules interact, from atomic-level interfaces to biological networks.",www.lemna.bio/,contact@lemna.bio,—,,—,"CHF 1,00,000.00",Debt Financing,—,Venture Kick,Foundation for Innovation and Technology (FIT),,,,—,—,—,—,—,—,—,—,—
Finta,Accounting,Finance,Financial Services,United States,"Finta is the simplest way for startups to manage taxes, bookkeeping, and track financial metrics - all in one platform.",www.finta.com,—,—,,Seed,"$20,00,000.00",Seed,"$21,25,000.00",Y Combinator,UpHonest Capital,Garage Capital,Mora Financial,FoundersX Ventures,"10,550","13,195.67",-44.8%,689,625.26%,73.53%,73.94%,57.12%,"17,02,618"
The Network,Artificial Intelligence (AI),Natural Language Processing,Search Engine,United States,The Network is a people search engine designed to help the right people meet.,www.thenetwork.com/,andres@thenetwork.com,—,Pedro Sotomayor,Seed,"$25,00,000.00",Pre-Seed,"$25,00,000.00",Shrug Capital,Script Capital,Bedrock,Guillermo Rauch,Cindy Bi,"13,627","26,956",42.74%,33,-8.33%,12.16%,29.98%,-48.67%,"13,93,510"
Aragorn AI,Analytics,Artificial Intelligence (AI),Cloud Data Services,United States,Aragorn AI develops cloud people resource data integration platform that helps teams streamline and automate vendor and IT integrations.,www.aragorn.ai/,hello@aragorn.ai,—,Eric Adjei,Seed,"$43,00,000.00",Seed,"$55,26,000.00",Plug and Play,Y Combinator,LiveOak Ventures,Dallas Venture Capital,,276,507.67,-66.42%,261,207.06%,119.72%,61.96%,63.79%,"1,21,05,675"
AnyTeam,Mobile Apps,Real Time,Software,United States,The World's First Sales OS for AEs: 24/7 personalized intelligence and real-time call guidance for all of your accounts.,www.anyteam.com/,privacy@anyteam.com,—,Jeff Yoshimura,Seed,"$1,00,00,000.00",Seed,"$1,00,00,000.00",SignalFire,Crosslink Capital,,,,586,—,-54.92%,218,-36.63%,20.83%,19.62%,-53.2%,"83,07,728"
Swish Robotics,Artificial Intelligence (AI),Consumer,Hardware,United States,Swish Robotics offers embodied intelligence or an ecosystem of specialized consumer robots that solve redundant daily tasks such as cooking.,www.swishrobotics.com,—,—,Shadi Elaridi,Seed,"$25,00,000.00",Pre-Seed,"$25,00,000.00",Accel,Alumni Ventures,Pareto Holdings,Edward Lando,Cory Levy,—,—,—,—,—,—,—,—,—
LeanCon AI,Construction,Productivity Tools,Software,United States,LeanCon AI is a software development company that develops automating project planning and preconstruction process.,www.leancon.ai/,Leanconinfo@gmail.com,+1 995 39-1923,,Seed,"$60,00,000.00",Seed,"$60,00,000.00",Connecticut Innovations,Ibex Investors,Fusion,Tech Coast Angels Los Angeles,Siegel Capital,470,213.67,176.47%,372,"1,590.91%",-51.57%,91.49%,217.45%,"92,42,222"
Delphina,Artificial Intelligence (AI),Predictive Analytics,Software,United States,Delphina is an AI Data Scientist that helps data science teams drive business impact faster,www.delphina.ai/,—,—,Jeremy Hermann,Seed,"$75,00,000.00",Seed,"$75,00,000.00",Radical Ventures,Costanoa Ventures,Fei-Fei Li,,,981,555,126.04%,189,"33,600%",80.12%,52.19%,-47.81%,"65,63,266"
Palisade,Blockchain,Cryptocurrency,Cyber Security,United Kingdom,Palisade is a fully regulated digital asset custody provider set on securing the foundations of the digital economy.,www.palisade.co,—,—,,M&A,—,Pre-Seed,—,Fly Ventures,XRPL Grants,,,,"1,853",—,—,205,—,—,71.99%,—,"49,71,163"
Pay-i,Apps,Artificial Intelligence (AI),FinTech,United States,Pay-i is a technology company.,pay-i.com,sales@pay-i.com,1-425-241-1867,Doron Holan,Seed,"$49,00,000.00",Seed,"$79,99,996.00",Pear VC,FUSE,Tola Capital,Firestreak Ventures,GAIA CAPITAL,214,685.17,-62.91%,63,384.62%,145.59%,0%,128.43%,"1,37,14,972"
SImount,Business Development,Database,Sales,Japan,SImount is a database management system that connects all data with one click.,simount.com,info@simount.com,+81 3-5803-2400,,Early Stage Venture,"¥550,000,000",Series B,"¥1,011,510,000",Mitsubishi UFJ Capital,Mizuho Capital,DNX Ventures,Venture Labo Investment,Mitsubishi UFJ Asset Management,"2,176","1,440.17",228.7%,104,285.19%,27.31%,45.82%,50.18%,"46,31,816"
The Middle Frame,Artificial Intelligence (AI),Photography,,Jordan,First Arab image generator and datasets provider,www.themiddleframe.com,hello@themiddleframe.com,962790977227,,Seed,"$1,00,000.00",Seed,"$1,00,000.00",F6 Ventures,,,,,957,786.33,171.88%,66,-51.82%,-41.87%,65.1%,131.51%,"66,36,207"
Sleuth,Artificial Intelligence (AI),Business Intelligence,Software,United States,Sleuth Insights is a business intelligence startup that specializes in AI-powered tools for the biopharmaceutical industry.,sleuthinsights.com/,—,—,,—,"$76,84,787.00",Venture - Series Unknown,"$76,84,787.00",Unpopular Ventures,,,,,585,—,-49.83%,33,-81.03%,9.22%,71.97%,6.23%,"83,09,316"
Piramidal,Artificial Intelligence (AI),Biotechnology,Wellness,United States,Piramidal offers AI software that transforms brain activity into easy-to-understand health data to help diagnose diseases.,piramidal.ai,—,—,Kris Pahuja,Seed,"$15,00,000.00",Seed,"$80,00,000.00",Y Combinator,Lionheart Ventures,Adverb Ventures,CoreNest Capital,Kahlil Lalji,678,"1,192.67",-80.21%,11,-21.43%,37.19%,80.38%,-17.77%,"77,49,498"
Spectrohm,Electronics,GovTech,Homeland Security,United States,"Spectrohm uses radio waves to identify what's inside of bags, backpacks, and packages",spectrohm.com,—,—,,—,"$30,00,000.00",Venture - Series Unknown,"$50,00,000.00",Good Growth Capital,REFASHIOND Ventures,HCVC,Virginia Venture Partners,SBXi,—,—,—,—,—,—,—,—,—
Great Sky,AI Infrastructure,Artificial Intelligence (AI),Manufacturing,United States,"Great Sky combines photonics, superconductors, and semiconductors. to develop AI hardware.",www.greatsky.ai/,contact@greatsky.ai,+1 (303) 594-6902,Jeff Chiles,Seed,"$30,07,500.00",Seed,"$30,07,500.00",Matchstick Ventures,,,,,577,—,194.39%,224,"12,800%",203.47%,54.42%,-45.58%,"83,66,151"
Quickture,Artificial Intelligence (AI),Media and Entertainment,Software,,"Quickture is an AI editing tool for video editors, offering edits and integration with Adobe Premiere Pro and Avid Media Composer.",www.quickture.com,matt@quickture.com,—,,Seed,"$19,00,000.00",Pre-Seed,"$19,00,000.00",Kickstart Ventures,Forward Venture Capital,Arts Alliance,,,"7,517","6,428.67",5.13%,"1,630",47.11%,-21.91%,33.42%,-28.71%,"22,01,802"
Moescape AI,Animation,Artificial Intelligence (AI),Gaming,United States,"Moescape AI is an AI-driven platform that provides animation characters, editing and generative films.",moescape.ai,community@yodayo.com,—,,Seed,—,Pre-Seed,"$24,00,000.00",Gaingels,Polygon Ventures,GFR Fund,Newman Capital,Inception Capital,"44,25,409","41,26,295.33",6.88%,"1,044",26.7%,103.98%,48.74%,-0.63%,"13,015"
SaaS Capital,Credit,Finance,Financial Services,United States,The leading provider of growth debt to software-as-a-service (SaaS) companies,www.saas-capital.com,connect@saas-capital.com,(303) 870-9529,,—,"$20,00,000.00",Debt Financing,—,,,,,,"17,706","13,945.5",-17.37%,476,-51.23%,0.34%,56.42%,-31.23%,"11,38,916"
CatalyzeX,Artificial Intelligence (AI),Browser Extensions,Developer Tools,United States,CatalyzeX is an AI code search engine and knowledge-sharing network.,www.catalyzex.com,team@profillic.com,—,Himanshu Ragtah,Seed,"$16,40,000.00",Seed,"$16,40,000.00",Alumni Ventures,Unshackled Ventures,On Deck,Unpopular Ventures,focal,"67,144","68,733.67",15.04%,370,9.79%,8.84%,58.32%,5.21%,"4,11,243"
Stemble Learning,E-Learning,EdTech,Education,Canada,Stemble offers a wide range of personalized and efficient learning experiences for students using AI.,www.stemble.com/,info@stemble.ca,—,,Seed,"CA$5,50,000.00",Grant,—,Island Capital Partners,Atlantic Canada Opportunities Agency,,,,"2,20,675","1,27,493.83",-3.16%,"1,247",-7.22%,-14.04%,18.44%,-3.05%,"1,63,923"
Cartage,Artificial Intelligence (AI),Logistics,Machine Learning,Canada,Cartage is an AI operating system for shippers & 3PLs that automates routine tasks and connects users to carriers.,www.cartage.ai,—,—,Harman Sahota,Seed,"CA$33,00,000.00",Seed,"CA$33,00,000.00",Y Combinator,Pioneer Fund,Garage Capital,Ritual Capital,Northside Ventures,738,969.33,19.42%,160,6.67%,-30.03%,71.95%,234.34%,"74,54,351"
Mbodi AI,Artificial Intelligence (AI),Information Technology,Robotics,United States,Embodied AI Platform for Robotics (YC X25),www.mbodi.ai/,—,—,Xavier Chi,Seed,—,Seed,"$5,00,000.00",Y Combinator,Pioneer Fund,Betaworks,ZAKA VC,,"1,541","1,673.67",60.52%,88,-71.34%,4.54%,67.29%,-6.65%,"53,79,652"
Studdy,Artificial Intelligence (AI),E-Learning,EdTech,United States,Studdy is an AI-based tutoring platform that assists students in learning various subjects in the school curriculum.,www.studdy.ai/,hello@studdy.ai,—,Michael Lam,Seed,"$23,00,000.00",Pre-Seed,"$23,00,000.00",Y Combinator,Pioneer Fund,Rebel Fund,big_bets,Unpopular Ventures,771,533.17,5.62%,0,4.35%,0%,100%,0%,"73,07,306"
Endora Technologies,Casual Games,Gaming,Mobile Apps,United States,Endora Technologies is a mobile app that offers personalized games with photos stored on the phone.,www.endora.app,hello@endora.app,—,,Seed,"$2,52,000.00",Angel,"$2,52,000.00",LAUNCH,,,,,18,—,-96.5%,0,—,0%,100%,0%,"2,77,54,565"
True Flood Risk,Analytics,InsurTech,Risk Management,United States,"True Flood Risk is a global climate data and property risk management platform for insurers, emergency response and floodplain management",www.truefloodrisk.com,sales@truefloodrisk.com,+1 914 222 9055,,Seed,"$3,00,000.00",Grant,"$1,20,000.00",RevTech Labs,RISE,,,,—,—,—,—,—,—,—,—,—
Inclusology,SaaS,Software,,United States,"An all in one DEI (diversity, equity, and inclusion) management platform designed to reduce bias and increase employee retention.",www.inclusology.com,info@inclusology.com,—,,Seed,"$10,00,000.00",Seed,"$11,30,000.00",Microsoft,Invest Nebraska,Chisos Capital,Nelnet,,—,—,—,—,—,—,—,—,—
Givzey,Funding Platform,Health Care,Higher Education,United States,Givzey is a SaaS solution for nonprofit fundraising.,www.givzey.com,hello@givzey.com,—,,Seed,"$30,00,000.00",Seed,"$56,39,993.00",Bantam Group,,,,,"2,364","1,859.17",20.37%,85,286.36%,50.46%,53.89%,-23.97%,"44,57,465"
LivLive,Artificial Intelligence (AI),Augmented Reality,Cryptocurrency,Panama,LivLive is an artificial intelligence-powered augmented reality application that pays users for real-world activities.,livlive.com,hello@livlive.com,—,,—,"$21,70,000.00",Initial Coin Offering,"$21,70,000.00",,,,,,"10,495",—,393.88%,258,-23.89%,28.27%,21.65%,-66.95%,"17,09,601"
Franzy,Artificial Intelligence (AI),Business Development,Franchise,United States,Information Technology and Marketplace,franzy.com/,alex@franzy.com,6517640342,Chris Wright,Seed,"$22,00,000.00",Seed,"$34,00,000.00",Overline,Daren Cotter,Front Porch Venture Partners,Avalanche VC,York IE,"45,937","17,321.5",98.02%,"1,106","2,026.92%",-14.19%,83.78%,9.88%,"5,48,916"
Waveful,Apps,Content Creators,Mobile Apps,Italy,Waveful is the gamified social platform for finding your communities and sharing your passions,waveful.com,contact@waveful.com,—,Gianluca Sorgente,Seed,"$21,00,000.00",Seed,"$21,00,000.00",Vento,A16Z GAMES Speedrun,Vesper Holding,Italian Angels for Growth,Zest,"17,141","20,485.17",47.39%,84,-60.38%,183.8%,29.85%,-65.19%,"11,68,123"
Chicago Global,Analytics,Consulting,Impact Investing,Singapore,"Chicago Global is a next-generation investment management firm, which runs timeless investment strategies powered by advanced technology.",chicago.global,info@chicago.global,—,Ivan Chelebiev,—,"$8,00,000.00",Convertible Note,"$9,83,435.00",,,,,,—,—,—,—,—,—,—,—,—
